id;product_rating;product_review;seller_rating;seller_review;delivery_rating;delivery_review;photo;photo_content_type;last_edited_by;last_edited_when
1;8167;../fake-data/blob/hipster.txt;46393;../fake-data/blob/hipster.txt;21772;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Universal;2019-10-21
2;33540;../fake-data/blob/hipster.txt;46319;../fake-data/blob/hipster.txt;95226;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;United Arab Emirates payment;2019-10-21
3;89866;../fake-data/blob/hipster.txt;12938;../fake-data/blob/hipster.txt;45650;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Computer Web;2019-10-21
4;44687;../fake-data/blob/hipster.txt;18163;../fake-data/blob/hipster.txt;77798;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;green;2019-10-22
5;46830;../fake-data/blob/hipster.txt;40633;../fake-data/blob/hipster.txt;85312;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Assurance Group Granite;2019-10-21
6;8421;../fake-data/blob/hipster.txt;2822;../fake-data/blob/hipster.txt;98457;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;withdrawal modular Oklahoma;2019-10-22
7;42984;../fake-data/blob/hipster.txt;96583;../fake-data/blob/hipster.txt;30644;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Web;2019-10-21
8;24545;../fake-data/blob/hipster.txt;28943;../fake-data/blob/hipster.txt;71756;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;parse UAE Dirham;2019-10-21
9;41267;../fake-data/blob/hipster.txt;89246;../fake-data/blob/hipster.txt;10045;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Bedfordshire;2019-10-22
10;24828;../fake-data/blob/hipster.txt;40689;../fake-data/blob/hipster.txt;98801;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;synthesize;2019-10-21
